
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 20069.9, 3.88, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Randon Density, 18944.6, 372.18, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 18159.4, 329.276, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 18944.6, 3.641, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Randon Density, 20341.5, 198.958, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 20254.5, 100.241, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 20341.5, 6.287, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Randon Density, 21467.5, 337.469, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 20959.4, 174.818, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 21467.5, 4.084, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Randon Density, 22845, 239, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 22725.8, 109.908, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 22845, 4.953, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Randon Density, 22707.9, 328.18, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 22595.1, 102.6, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 22707.9, 6.269, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Randon Density, 15251.7, 358.326, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 14550.8, 234.649, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 15251.7, 3.338, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Randon Density, 16035.3, 264.306, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 15417.9, 225.847, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 16035.3, 3.114, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Density, 16466.2, 53.414, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 16466.1, 7.69, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 16373.3, 36.458, 3,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, HMeans, 17663.7, 0.094, 7,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 16990.6, 372.494, 7,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 17663.7, 7.335, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, HMeans, 17200, 0.119, 9,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 16788, 264.212, 9,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 17200, 7.218, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, HMeans, 17306.5, 0.097, 8,
