
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 5841.26, 1.584, 3,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Randon Density, 5835.27, 3.078, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 5832.38, 0.422, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 5835.27, 0.34, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Randon Density, 6302.07, 1.989, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6243.81, 3.706, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6302.07, 0.571, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Randon Density, 6132, 5.271, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6109.15, 2.175, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6132, 0.691, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Randon Density, 6152.94, 1.811, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6152.94, 0.208, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6152.94, 0.685, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Farthest, 8374.61, 0.012, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Interchange, 7163.46, 18.828, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Shift, 8374.61, 0.363, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Density, 6155.29, 1.391, 10,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Interchange, 6148.72, 1.998, 10,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Shift, 6155.29, 0.763, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, HMeans, 6528.36, 2.004, 1001,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Interchange, 6359.51, 6.023, 1001,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Shift, 6528.36, 0.478, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, HMeans, 14506.6, 0.017, 8,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Interchange, 13419.1, 8.77, 8,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Shift, 14506.6, 0.398, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, HMeans, 15160.3, 0.009, 4,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Interchange, 14209.9, 3.759, 4,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Shift, 15160.3, 0.51, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, HMeans, 14290.3, 0.01, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Interchange, 13226.3, 6.079, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, Hill Climb with Shift, 14290.3, 0.609, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.3, HMeans, 5682.98, 0.011, 6,
