
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 32398, 1.113, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Density, 9174.75, 7.964, 10,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 9123.13, 12.042, 10,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 9174.75, 2.109, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, HMeans, 11933, 0.041, 6,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 10600.3, 133.576, 6,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 11933, 1.933, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, HMeans, 19407.1, 0.046, 8,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 18758.9, 67.068, 8,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 19407.1, 2.2, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, HMeans, 19404.6, 0.035, 6,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 18975.3, 65.301, 6,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 19404.6, 2.194, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, HMeans, 11986.7, 0.037, 5,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 10834.4, 59.159, 5,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 11986.7, 1.955, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, HMeans, 9982.1, 5.814, 1001,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 8806.82, 63.169, 1001,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 9982.1, 0.844, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, HMeans, 11808.7, 0.027, 4,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 10014.2, 75.786, 4,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 11808.7, 1.887, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, HMeans, 19595, 0.042, 7,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 19237.5, 48.803, 7,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 19595, 2.543, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, HMeans, 21011.1, 0.049, 8,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 20483.1, 59.149, 8,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 21011.1, 2.048, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, HMeans, 11835.1, 0.045, 7,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 10037, 71.781, 7,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 11835.1, 1.826, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, HMeans, 10388.2, 0.029, 5,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 9562.8, 73.574, 5,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 10388.2, 1.647, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Randon Density, 11345.2, 56.425, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 10336.1, 79.046, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 11345.2, 2.015, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Randon Density, 11021.5, 35.3, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 10030.4, 55.53, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 11021.5, 1.875, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Randon Density, 10486.4, 58.745, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 9541.71, 72.153, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 10486.4, 1.87, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Randon Density, 11171.9, 28.124, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 10177.9, 63.6, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 11171.9, 1.875, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Randon Density, 11141.7, 61.983, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 10020.2, 80.467, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 11141.7, 1.995, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Randon Density, 10718.8, 59.488, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 9859.92, 59.711, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 10718.8, 1.918, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Randon Density, 10276.2, 40.73, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 9773.46, 32.074, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 10276.2, 1.783, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Randon Density, 10177.6, 55.237, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 9375.1, 49.634, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 10177.6, 1.876, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Randon Density, 10651.2, 36.984, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 9604.27, 66.55, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 10651.2, 1.963, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Randon Density, 10832.4, 57.631, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 9856.91, 57.785, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Shift, 10832.4, 1.853, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Farthest, 32248.7, 0.032, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 25471.7, 90.197, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 32248.7, 1.661, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Density, 8798.55, 10.569, 10,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 8798.55, 1.143, 10,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 8797.36, 11.496, 3,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, HMeans, 11119.3, 0.046, 7,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 9638.1, 107.973, 7,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 11119.3, 2.23, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, HMeans, 19067.9, 0.059, 9,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 18610, 57.378, 9,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 19067.9, 3.375, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, HMeans, 8227.89, 0.052, 9,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 7589.3, 74.593, 9,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 8227.89, 1.824, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, HMeans, 19528.8, 0.051, 9,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 18947.5, 76.611, 9,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 19528.8, 2.284, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, HMeans, 19600.6, 0.033, 6,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 19116.7, 74.842, 6,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 19600.6, 2.325, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, HMeans, 9573.87, 0.03, 6,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 9246.49, 38.012, 6,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 9573.87, 3.094, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, HMeans, 20900.3, 0.035, 5,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 20255.9, 71.07, 5,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 20900.3, 2.132, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, HMeans, 19096, 0.022, 4,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 18908, 29.323, 4,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 19096, 3.796, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, HMeans, 8639.74, 0.035, 6,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 8229.82, 71.652, 6,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 8639.74, 2.714, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, HMeans, 8109.5, 6.179, 1001,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 7541.42, 63.708, 1001,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 8109.5, 2.278, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Randon Density, 8419.19, 27.392, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 8416.48, 3.923, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 8398.15, 12.71, 3,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Randon Density, 8442.97, 62.392, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 8256.51, 26.164, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 8442.97, 3.283, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Randon Density, 8372.84, 45.795, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 8285.5, 21.557, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 8372.84, 3.217, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Randon Density, 8375.95, 51.085, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 8281.24, 25.448, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 8375.95, 3.942, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Randon Density, 8376.05, 39.825, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 8281.35, 26.529, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 8376.05, 3.944, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Randon Density, 8582.66, 66.446, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 8341.68, 58.777, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 8582.66, 4.796, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Randon Density, 8909.04, 26.775, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 8875.06, 9.229, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 8909.04, 4.831, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Randon Density, 9106.28, 48.778, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 8950.97, 38.46, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 9106.28, 3.976, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Randon Density, 8375.95, 35.805, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 8281.24, 20.617, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 8375.95, 3.34, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Randon Density, 8472.11, 25.519, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Interchange, 8279.76, 34.504, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.2, Hill Climb with Shift, 8472.11, 2.803, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Farthest, 27915.8, 0.037, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Hill Climb with Interchange, 21275.1, 107.99, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Hill Climb with Shift, 27915.8, 1.445, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Density, 8735.79, 10.063, 10,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Hill Climb with Interchange, 8735.79, 1.152, 10,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Hill Climb with Shift, 8735.79, 4.841, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, HMeans, 12710, 0.029, 5,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Hill Climb with Interchange, 10955.9, 95.946, 5,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Hill Climb with Shift, 12710, 2.902, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, HMeans, 18556.8, 0.027, 5,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Hill Climb with Interchange, 18535.4, 3.799, 5,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Hill Climb with Shift, 18556.8, 6.038, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, HMeans, 18887.6, 0.047, 7,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Hill Climb with Interchange, 18814.8, 15.201, 7,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Hill Climb with Shift, 18887.6, 3.611, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, HMeans, 19070.6, 0.04, 8,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Hill Climb with Interchange, 18925.8, 30.472, 8,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, Hill Climb with Shift, 19070.6, 4.073, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.3, HMeans, 7535.1, 0.035, 6,
