
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 9336.68, 1.331, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, JMeans, 10832.8, 18.529, 11,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 10781.4, 7.146, 11,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 10832.8, 0.998, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, JMeans, 11458.9, 18.338, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 11151.2, 17.172, 10,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 11443.7, 1.461, 2,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, JMeans, 9348.06, 19.768, 11,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 9262.8, 7.824, 11,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 9348.06, 0.975, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, JMeans, 11205.3, 13.791, 11,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 11162.2, 8.848, 11,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 11068.3, 2.254, 2,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, JMeans, 11205.3, 12.509, 11,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 11162.2, 8.717, 11,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 11068.3, 2.209, 2,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, JMeans, 11000.4, 23.927, 16,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 10826.5, 14.046, 16,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 10724.3, 2.153, 2,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, JMeans, 9784.85, 17.184, 6,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 9437.54, 17.651, 6,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 9765.88, 1.338, 2,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, JMeans, 9800.22, 31.018, 17,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 9705.62, 8.171, 17,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 9450.65, 3.079, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, JMeans, 11069.9, 16.561, 11,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 10591.1, 19.677, 11,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 10857.7, 1.639, 2,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Randon Density, 10273.1, 11.255, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 10272.5, 0.668, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 10273.1, 1.104, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Randon Density, 9127.55, 13.509, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 9125.83, 0.848, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 9127.55, 0.717, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Randon Density, 9127.05, 9.791, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 9018.7, 6.359, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 9127.05, 0.68, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Randon Density, 10670.9, 9.444, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 10581.9, 6.59, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 10667.7, 1.792, 2,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Randon Density, 10274.2, 12.346, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 10272.7, 0.682, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 10274.2, 1.242, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Randon Density, 9103.59, 10.602, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 8988.59, 7.304, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 9103.59, 0.651, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Randon Density, 9026.32, 9.026, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 8917.53, 6.55, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 9026.32, 0.553, 1,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Randon Density, 10671.3, 10.076, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 10566.3, 7.484, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 10671, 2.658, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Randon Density, 10756.7, 11.201, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Interchange, 10596.8, 14.629, 0,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Hill Climb with Shift, 10751.3, 2.443, 3,
/home/wagner/src/CCP/instances/AES/Alegrete.dat, 1.2, Randon Density, 9098.54, 12.607, 0,
